Data,Open,High,Low,Close,Volume
7/17/2020,1800.7,1800.7,1785.44,1796.04,28251410
7/20/2020,1795.09,1840.6,1789.04,1840.6,43201680
7/21/2020,1852.56,1884.22,1840.87,1845.34,63348457
7/22/2020,1844.74,1847,1830.61,1830.61,28036885
7/23/2020,1837.64,1842.84,1817.78,1820.25,22437877
7/24/2020,1809.5,1810.65,1790.53,1810.33,20018033
7/27/2020,1811.4,1833.8,1805.84,1830.87,29472596
7/28/2020,1831.03,1841.46,1806.06,1823.52,33304887
7/29/2020,1819.4,1828.24,1804.21,1824.53,26311655
7/30/2020,1827.17,1827.17,1762.74,1763.22,38548780
7/31/2020,1767.31,1793.13,1765.42,1767.54,36031300
8/3/2020,1769.31,1815.5,1768.56,1804.38,20034373
8/4/2020,1813.7,1831.17,1804.3,1811.46,20228370
8/5/2020,1819.96,1844.2,1819.96,1833.2,24197285
8/6/2020,1834.67,1841.68,1810.63,1818.64,19951007
8/7/2020,1818.62,1824.29,1809.07,1817.23,21923481
8/10/2020,1822.48,1832.65,1812.95,1823.15,16618758
8/11/2020,1830.21,1857.95,1822.13,1847.73,23937974
8/12/2020,1848.54,1856.84,1839.14,1855.86,17234179
8/13/2020,1856.65,1881.46,1854.78,1858.35,14609934
8/14/2020,1857.47,1857.47,1840.77,1856.56,10708465
8/17/2020,1856.46,1865.94,1844.3,1862.12,12788540
8/18/2020,1859.11,1859.11,1837.2,1840.33,19937166
8/19/2020,1838.62,1847.84,1831.01,1833.22,14295005
8/20/2020,1829.52,1829.52,1811.88,1815.03,12587398
8/21/2020,1824.52,1831.28,1813.79,1820.6,13127705
8/24/2020,1830.14,1843.75,1827.39,1841.46,13217103
8/25/2020,1847.98,1858.14,1820.34,1821.29,14759246
8/26/2020,1817.91,1848.77,1815.16,1848.35,14166893
8/27/2020,1846.42,1854.84,1833.9,1846.5,13555934
8/28/2020,1842.36,1850.46,1826.96,1829.79,13671826
8/31/2020,1832.66,1839.06,1793.96,1800.21,33678644
9/1/2020,1803.77,1807.77,1768.12,1772.61,30289284
9/2/2020,1777.15,1796.8,1777.15,1785.44,32157278
9/3/2020,1787.62,1805.22,1764.04,1769.19,26372468
9/4/2020,1754.65,1773.65,1743.89,1758.11,19736509
9/7/2020,1765.37,1780.44,1761.96,1772.85,16043227
9/8/2020,1778.86,1781.04,1720.07,1733.88,33898058
9/9/2020,1735.58,1775.98,1735.58,1773.37,22514088
9/10/2020,1776.48,1783.39,1751.06,1764.86,17665600
9/11/2020,1767.42,1777.91,1764.66,1772.89,15962793
9/14/2020,1783.55,1787.9,1757.93,1758.65,20624696
9/15/2020,1760.55,1764.38,1737.55,1743.93,32465157
9/16/2020,1746.94,1750.73,1731.28,1738.1,27367678
9/17/2020,1736.81,1745.87,1714.95,1745.73,31087178
9/18/2020,1745.91,1751.25,1729.3,1731.76,48976787
9/21/2020,1724.89,1753.5,1682.26,1682.26,51949697
9/22/2020,1689.6,1704.4,1682.55,1693.09,31717311
9/23/2020,1701.26,1712.27,1684.92,1685.4,25995393
9/24/2020,1677.73,1679.59,1657.57,1665.96,24207229
9/25/2020,1666.65,1678.51,1658.33,1674.14,44107627
9/28/2020,1686.57,1738.44,1686.57,1738.44,37983678
9/29/2020,1737.48,1737.48,1718.21,1718.21,21346383
9/30/2020,1713.01,1719.15,1700.49,1712.73,25682893
10/1/2020,1719.55,1723.85,1687.54,1694.18,22310007
10/2/2020,1690.04,1704.58,1675.2,1697.39,18298699
10/5/2020,1710.14,1739.17,1710.14,1731.85,20264194
10/6/2020,1739.86,1749.28,1733.17,1735.45,26458687
10/7/2020,1736.62,1741.18,1715.75,1736.61,23829671
10/8/2020,1742.29,1746.68,1711.56,1719.91,22047535
10/9/2020,1718.45,1718.45,1679.01,1698.91,27423797
10/12/2020,1701.76,1707.3,1681.87,1683.21,25089668
10/13/2020,1685.25,1685.25,1659.1,1660.12,26031951
10/14/2020,1658.04,1691.64,1657.9,1670.26,33451091
10/15/2020,1660.64,1660.64,1625.1,1627.59,31769308
10/16/2020,1635.02,1665.8,1635.02,1655.36,37750985
10/19/2020,1663.75,1681.74,1640.82,1648.11,22941451
10/20/2020,1647.95,1667.16,1638.2,1656.34,23654536
10/21/2020,1656.97,1663.23,1634.28,1641.42,21076142
10/22/2020,1634.69,1664.37,1627.13,1642.7,27413508
10/23/2020,1643.34,1661.16,1638.76,1645.32,61467814
10/26/2020,1635.49,1645.46,1627.61,1631.66,21450891
10/27/2020,1635.42,1653.11,1612.59,1625.54,29281825
10/28/2020,1605.43,1610.05,1534.87,1549.74,39349601
10/29/2020,1557.47,1567.72,1529.15,1542.76,36970182
10/30/2020,1528.78,1535.27,1496.76,1515.97,40057456
11/2/2020,1526.2,1563.93,1526.2,1556.14,35369810
11/3/2020,1564.86,1636.9,1564.75,1636.28,42706867
11/4/2020,1622.29,1641.78,1590.72,1640.94,32893579
11/5/2020,1654.61,1678.4,1649.07,1670.43,29239154
11/6/2020,1665.72,1702.98,1654.6,1697.49,29419624
11/9/2020,1707.52,1788.27,1697.78,1765.71,59970055
11/10/2020,1768.9,1794.79,1741.62,1779.34,55221876
11/12/2020,1777.24,1791.08,1761.91,1771.49,52043843
11/13/2020,1768.19,1768.51,1743.81,1749.41,25817243
11/16/2020,1764.1,1799.36,1764.1,1799.02,46540695
11/17/2020,1797.57,1801.73,1775.91,1793.56,38779648
11/18/2020,1792.17,1812.8,1787.08,1810.43,31034452
11/19/2020,1803.49,1806.98,1782.02,1789.79,25264725
11/20/2020,1788.48,1821.3,1780.11,1820.85,24018420
11/23/2020,1835.53,1860.73,1823.32,1832.04,26237893
11/24/2020,1841.11,1861.39,1831.12,1859.42,26738682
11/25/2020,1866.15,1866.15,1840.63,1860.15,28023478
11/26/2020,1865.67,1873.96,1844.11,1849.57,17687253
11/27/2020,1846.73,1853.78,1834.69,1852.69,20434292
11/30/2020,1845.96,1851.37,1817.83,1830.04,70547131
12/1/2020,1844.33,1871.17,1844.33,1853.38,26822976
12/2/2020,1855.33,1899.37,1845.44,1897.97,27335738
12/3/2020,1900.94,1903.32,1880.22,1890.11,29798820
12/4/2020,1894.4,1952.28,1894.35,1947.68,28408098
12/7/2020,1949.61,1965.92,1926.87,1958.53,32118759
12/8/2020,1941.14,1970.27,1933.68,1970.27,33485126
12/9/2020,1976.65,2023.91,1976.65,1994.12,57962389
12/10/2020,1995.63,2008.96,1975.26,1984,40469559
12/11/2020,1985.51,1992.09,1927.53,1950.85,38524912
12/14/2020,1956.48,1961.77,1916.03,1939.07,34170734
12/15/2020,1938.79,1963.56,1933.23,1955.69,27794678
12/16/2020,1963.84,1996.4,1963.84,1985.26,34099333
12/17/2020,1997.91,2014.44,1949.99,1975.76,43583349
12/18/2020,1981.62,1983.94,1947.14,1952.54,61279348
12/21/2020,1929.14,1935.22,1851.23,1888.8,39620662
12/22/2020,1896.48,1931.66,1896.29,1928.4,19823032
12/23/2020,1934.03,1958.16,1927.07,1955.84,18891251
12/28/2020,1969.45,2005.62,1969.45,2004.41,24154610
12/29/2020,2015.02,2033.03,2002.58,2016.01,19087767
12/30/2020,2019.48,2019.48,1982.15,1983.98,24178229
1/4/2021,1994.28,2020.04,1991.46,2008.75,29391914
1/5/2021,2004.64,2031.72,1994.13,2009.12,29859492
1/7/2021,2040.48,2074.11,2028.43,2074.11,38310140
1/8/2021,2080.5,2095.67,2060.2,2072.74,42476821
1/11/2021,2067.33,2100.33,2043.05,2066.97,30637504
1/12/2021,2073.81,2086.11,2026.96,2043.73,25292386
1/13/2021,2050.24,2058.87,2009.42,2023.36,38715146
1/14/2021,2023.83,2037.57,2019.66,2031.71,25101624
1/15/2021,2026.35,2031.08,1969.41,1985.68,31251321
1/18/2021,1985.59,2023.74,1970.06,2023.74,32644709
1/19/2021,2034.26,2047.11,1980.12,1980.12,32703284
1/20/2021,1983.49,1998.43,1960.82,1986.09,26554080
1/21/2021,1997.58,2007.64,1948.97,1953.49,25603661
1/22/2021,1945.01,1965.14,1934.61,1952.67,21137609
1/25/2021,1961.37,1966.76,1927.45,1945.78,22893278
1/26/2021,1936.78,1988.24,1932.69,1981.98,28113053
1/27/2021,1981.07,1998.12,1916.09,1929.21,40978113
1/28/2021,1913.71,1992.75,1885.24,1987.83,37513695
1/29/2021,1965.76,1985.52,1938.85,1948.01,37304929
2/1/2021,1960.96,1975.94,1945.82,1967.72,23103200
2/2/2021,1973.17,1981.43,1942.6,1954.02,24581125
2/3/2021,1961.77,1973.74,1934.98,1940.69,24774710
2/4/2021,1945.6,1961.12,1924.95,1927.02,20882741
2/5/2021,1937.72,1971.28,1934.96,1957.73,19158536
2/8/2021,1970.16,1975.67,1948.48,1952.1,21296631
2/9/2021,1954.67,1958.14,1935.49,1941.6,18996916
2/10/2021,1947.63,1954.36,1910.15,1917.54,18762570
2/11/2021,1922.62,1961.69,1922.62,1954.92,19738332
2/12/2021,1951.43,1953.69,1919.72,1937.07,15010320
2/15/2021,1946.97,1980.77,1946.97,1974.82,16077432
2/16/2021,1977.89,2022.16,1976.58,2004.54,32788225
2/17/2021,2005.98,2008.2,1980.26,1986.8,28844185
2/18/2021,1990.16,2020.46,1978.88,1980.77,34651110
2/19/2021,1985.99,1998.69,1971.8,1985.31,28897488
2/22/2021,1978.7,1978.7,1958.36,1961.62,23606217
2/23/2021,1969.01,1976.38,1896.36,1922.59,31468184
2/24/2021,1926.18,1954.22,1924.64,1937.9,27510835
2/25/2021,1955.61,1967.63,1936.13,1936.47,32921467
2/26/2021,1912.25,1928.9,1888.55,1907.28,54393669
3/1/2021,1925.94,1950.47,1917.58,1949.57,29771537
3/2/2021,1947.45,1969.69,1938.13,1959.52,28968252
3/3/2021,1963.17,1989.78,1936.22,1943.24,29320923
3/4/2021,1935.36,1951.02,1914.5,1944.86,28794383
3/5/2021,1940.32,1952.97,1927.59,1939.59,28372033
3/8/2021,1950.85,1968.14,1944.49,1965.25,26761610
3/9/2021,1966.81,2010.33,1962.85,1994.18,36782773
3/10/2021,1997.63,2017.62,1997.63,2003.55,31707267
3/11/2021,2012.36,2020.76,1983.64,1994.38,24282633
3/12/2021,1993.99,2012.91,1983.11,2006.11,19551862
3/15/2021,2012.38,2029.17,1997.76,2001.24,19977025
3/16/2021,2005.15,2012.84,1977.17,1981.41,23579214
3/17/2021,1976.47,1976.47,1912.98,1939.01,68185874
3/18/2021,1941.91,1966.9,1938.05,1960.75,30624111
3/19/2021,1950.51,1954.88,1925.51,1927.56,68167135
3/22/2021,1921.5,1949.37,1921.5,1929.12,36853145
3/23/2021,1933.56,1934.37,1905.9,1923.55,22752449
3/24/2021,1910.28,1910.73,1888.36,1899.95,29081150
3/25/2021,1901.84,1911.57,1868.06,1876.85,31149337
3/26/2021,1891.11,1925.48,1887.67,1918.71,21565125
3/29/2021,1922.29,1955.75,1922.29,1953.02,25516439
3/30/2021,1963.34,1969.48,1935.9,1942.32,20454418
3/31/2021,1949,1954.4,1927.77,1938.84,30610955
4/1/2021,1942.53,1959.19,1937.14,1954.38,28609547
4/6/2021,1965.18,2012.87,1965.18,2012.87,32044519
4/7/2021,2012.08,2012.08,1990.15,1998.73,24860675
4/8/2021,2004.55,2006.99,1971.26,1980.32,25515138
4/9/2021,1981.23,1987.55,1964.05,1975.11,40173617
4/12/2021,1975.05,1983.85,1961.61,1982.58,54894971
4/13/2021,1983.4,1991.19,1967.7,1974.73,27867868
4/14/2021,1986.19,2011.96,1986.19,2011.96,28771239
4/15/2021,2015.11,2024.65,2002.04,2019.29,24157915
4/16/2021,2019.5,2026.55,2001.71,2012.27,27393764
4/19/2021,2016.04,2039.72,1994.85,1998.99,28602378
4/20/2021,2001.93,2013.61,1983.45,1987.76,26617959
4/21/2021,1987.94,1988.36,1968.98,1982.4,24041767
4/22/2021,1986.54,2004.64,1986.54,1989.73,19124940
4/23/2021,1990.18,1990.8,1961.71,1986.63,25703721
4/26/2021,1994.54,2005.1,1978.87,2005.1,18115877
4/27/2021,2006.17,2013.57,1996.4,1998.92,19353337
4/28/2021,2000.4,2033.79,2000.18,2029.64,43348305
4/29/2021,2043.59,2081.94,2040.02,2050.69,47082277
4/30/2021,2061,2065.47,2037.2,2037.59,26433739
5/4/2021,2046.24,2046.24,1999.81,2004.04,24344348
5/5/2021,2015.97,2052.17,2014.52,2047.36,21524165
5/6/2021,2053.2,2076.8,2040.4,2046.67,26381173
5/7/2021,2061.36,2099.19,2061.36,2097.31,25894358
5/10/2021,2115.79,2142.57,2108.34,2115.7,25939816
5/11/2021,2108.43,2116.51,2078.1,2110.48,46957921
5/12/2021,2112.89,2123.47,2084.77,2091.39,26482981
5/13/2021,2083.41,2095.86,2049.81,2089.32,32197745
5/14/2021,2096.96,2103.3,2062.64,2092.8,23112476
5/17/2021,2102.62,2129.99,2102.62,2128.49,22925971
5/18/2021,2142.32,2154.13,2132.83,2136.54,28209944
5/19/2021,2123.9,2129.88,2107.33,2115.15,26382848
5/20/2021,2121.01,2134.93,2100.73,2131.18,32573106
5/21/2021,2130.95,2149.09,2126.3,2139.06,29825932
5/24/2021,2138.36,2139.33,2127.3,2134.18,19811702
5/25/2021,2144,2157.82,2131.94,2153.78,28525966
5/26/2021,2156.44,2172.5,2143.24,2164.89,33872897
5/27/2021,2167.52,2208.23,2165.53,2207.47,45274348
5/28/2021,2210.53,2237.01,2210.53,2236.31,27207857
